2025-11-30 15:21:02,745 INFO    MainThread:53635 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-11-30 15:21:02,746 INFO    MainThread:53635 [wandb_setup.py:_flush():80] Configure stats pid to 53635
2025-11-30 15:21:02,746 INFO    MainThread:53635 [wandb_setup.py:_flush():80] Loading settings from /Users/zhengchengsheng/.config/wandb/settings
2025-11-30 15:21:02,746 INFO    MainThread:53635 [wandb_setup.py:_flush():80] Loading settings from /Users/zhengchengsheng/Desktop/sleeping_disorder_prediction/wandb/settings
2025-11-30 15:21:02,746 INFO    MainThread:53635 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-11-30 15:21:02,746 INFO    MainThread:53635 [wandb_init.py:setup_run_log_directory():713] Logging user logs to /Users/zhengchengsheng/Desktop/sleeping_disorder_prediction/wandb/offline-run-20251130_152102-0ty254pt/logs/debug.log
2025-11-30 15:21:02,746 INFO    MainThread:53635 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to /Users/zhengchengsheng/Desktop/sleeping_disorder_prediction/wandb/offline-run-20251130_152102-0ty254pt/logs/debug-internal.log
2025-11-30 15:21:02,746 INFO    MainThread:53635 [wandb_init.py:init():840] calling init triggers
2025-11-30 15:21:02,746 INFO    MainThread:53635 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'train': '/private/var/folders/py/wsw9dv2n5g70rl8sm3pxxjg40000gn/T/pytest-of-zhengchengsheng/pytest-2/test_train_smoke_lr0/data', 'model_dir': '/private/var/folders/py/wsw9dv2n5g70rl8sm3pxxjg40000gn/T/pytest-of-zhengchengsheng/pytest-2/test_train_smoke_lr0/model', 'model_type': 'logistic_regression', 'C': 0.1, 'kernel': 'rbf', 'n_estimators': 100, 'max_depth': 10, '_wandb': {}}
2025-11-30 15:21:02,746 INFO    MainThread:53635 [wandb_init.py:init():888] starting backend
2025-11-30 15:21:05,897 INFO    MainThread:53635 [wandb_init.py:init():891] sending inform_init request
2025-11-30 15:21:05,958 INFO    MainThread:53635 [wandb_init.py:init():899] backend started and connected
2025-11-30 15:21:06,564 INFO    MainThread:53635 [wandb_init.py:init():969] updated telemetry
2025-11-30 15:21:06,565 INFO    MainThread:53635 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-11-30 15:21:06,745 INFO    MainThread:53635 [wandb_init.py:init():1040] starting run threads in backend
2025-11-30 15:21:06,946 INFO    MainThread:53635 [wandb_run.py:_console_start():2504] atexit reg
2025-11-30 15:21:06,946 INFO    MainThread:53635 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-11-30 15:21:06,946 INFO    MainThread:53635 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-11-30 15:21:06,946 INFO    MainThread:53635 [wandb_run.py:_redirect():2444] Redirects installed.
2025-11-30 15:21:06,950 INFO    MainThread:53635 [wandb_init.py:init():1080] run started, returning control to user process
2025-11-30 15:21:11,081 INFO    wandb-AsyncioManager-main:53635 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-30 15:21:11,082 INFO    wandb-AsyncioManager-main:53635 [mailbox.py:close():137] Closing mailbox, abandoning 0 handles.
